user_id,first_name,last_name,age,city,reg_date,plan,churn_date,age_group,month,total_calls,total_minutes,total_messages,total_mb,minutes_included,messages_included,mb_per_month_included,usd_per_minute,usd_per_message,usd_per_gb,usd_monthly_pay
1000,Anamaria,Bauer,45,"Atlanta-Sandy Springs-Roswell, GA MSA",2018-12-24,ultimate,,Adult,12.0,16.0,108.0,11.0,1901.47,3000,1000,30720,0.01,0.01,7,70
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,Young Adult,8.0,27.0,166.0,30.0,6919.15,500,50,15360,0.03,0.03,10,20
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,Young Adult,9.0,49.0,289.0,44.0,13314.82,500,50,15360,0.03,0.03,10,20
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,Young Adult,10.0,65.0,368.0,53.0,22330.49,500,50,15360,0.03,0.03,10,20
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,Young Adult,11.0,64.0,399.0,36.0,18504.3,500,50,15360,0.03,0.03,10,20
1001,Mickey,Wilkerson,28,"Seattle-Tacoma-Bellevue, WA MSA",2018-08-13,surf,,Young Adult,12.0,56.0,379.0,44.0,19369.18,500,50,15360,0.03,0.03,10,20
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,Young Adult,10.0,11.0,55.0,15.0,6552.01,500,50,15360,0.03,0.03,10,20
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,Young Adult,11.0,55.0,347.0,32.0,19345.08,500,50,15360,0.03,0.03,10,20
1002,Carlee,Hoffman,36,"Las Vegas-Henderson-Paradise, NV MSA",2018-10-21,surf,,Young Adult,12.0,47.0,355.0,41.0,14396.24,500,50,15360,0.03,0.03,10,20
1003,Reynaldo,Jenkins,52,"Tulsa, OK MSA",2018-01-28,surf,,Adult,12.0,149.0,1022.0,50.0,27044.14,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,5.0,21.0,176.0,7.0,6547.21,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,6.0,44.0,253.0,18.0,20672.82,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,7.0,49.0,342.0,26.0,24516.62,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,8.0,49.0,320.0,25.0,27981.739999999998,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,9.0,42.0,281.0,21.0,18852.72,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,10.0,61.0,337.0,24.0,14541.63,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,11.0,54.0,441.0,25.0,21850.78,500,50,15360,0.03,0.03,10,20
1004,Leonila,Thompson,40,"Seattle-Tacoma-Bellevue, WA MSA",2018-05-23,surf,,Adult,12.0,50.0,393.0,31.0,21389.29,500,50,15360,0.03,0.03,10,20
1005,Livia,Shields,31,"Dallas-Fort Worth-Arlington, TX MSA",2018-11-29,surf,,Young Adult,12.0,59.0,457.0,11.0,17140.17,500,50,15360,0.03,0.03,10,20
1006,Jesusa,Bradford,73,"San Francisco-Oakland-Berkeley, CA MSA",2018-11-27,ultimate,2018-12-18,Senior,11.0,2.0,8.0,15.0,2068.37,3000,1000,30720,0.01,0.01,7,70
1006,Jesusa,Bradford,73,"San Francisco-Oakland-Berkeley, CA MSA",2018-11-27,ultimate,2018-12-18,Senior,12.0,9.0,54.0,139.0,32118.82,3000,1000,30720,0.01,0.01,7,70
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,,Adult,8.0,70.0,417.0,51.0,24439.88,500,50,15360,0.03,0.03,10,20
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,,Adult,9.0,63.0,369.0,47.0,28123.95,500,50,15360,0.03,0.03,10,20
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,,Adult,10.0,80.0,587.0,59.0,37885.63,500,50,15360,0.03,0.03,10,20
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,,Adult,11.0,80.0,487.0,48.0,24334.0,500,50,15360,0.03,0.03,10,20
1007,Eusebio,Welch,42,"Grand Rapids-Kentwood, MI MSA",2018-07-11,surf,,Adult,12.0,87.0,567.0,50.0,29069.28,500,50,15360,0.03,0.03,10,20
1008,Emely,Hoffman,53,"Orlando-Kissimmee-Sanford, FL MSA",2018-08-03,ultimate,,Adult,10.0,71.0,441.0,21.0,17106.989999999998,3000,1000,30720,0.01,0.01,7,70
